"data","Abruzzo","Basilicata","Calabria","Campania","Emilia-Romagna","Friuli Venezia Giulia","Lazio","Liguria","Lombardia","Marche","Molise","P.A. Bolzano","P.A. Trento","Piemonte","Puglia","Sardegna","Sicilia","Toscana","Umbria","Valle d'Aosta","Veneto"
"2020-02-24",0,0,0,0,18,0,2,0,166,0,0,0,0,3,0,0,0,0,0,0,32
"2020-02-25",0,0,0,0,26,0,2,1,231,0,0,1,0,3,0,0,3,2,0,0,42
"2020-02-26",0,0,0,0,46,0,0,11,249,1,0,1,0,3,0,0,3,2,0,0,69
"2020-02-27",1,0,0,3,96,0,0,19,349,3,0,1,0,2,1,0,2,2,0,0,109
"2020-02-28",1,0,1,4,143,0,0,19,474,6,0,1,0,11,3,0,2,7,0,0,149
"2020-02-29",2,0,1,13,213,0,3,38,552,11,0,1,0,11,3,0,2,10,0,0,189
"2020-03-01",5,0,1,17,277,6,3,21,887,25,0,1,0,49,3,0,7,12,2,0,261
"2020-03-02",5,0,1,17,324,9,4,18,1077,34,0,1,0,51,4,0,5,12,2,0,271
"2020-03-03",6,1,1,30,398,13,11,19,1326,59,3,1,4,56,6,1,5,18,8,0,297
"2020-03-04",7,1,1,31,516,18,27,21,1497,80,3,1,5,82,7,2,16,37,9,0,345
"2020-03-05",8,1,2,45,658,21,41,21,1777,120,7,1,7,106,12,2,16,60,9,2,380
"2020-03-06",9,3,4,57,816,28,50,24,2008,155,12,4,10,139,15,5,22,78,16,7,454
"2020-03-07",11,3,4,61,937,39,72,42,2742,201,14,9,14,202,23,5,33,112,24,8,505
"2020-03-08",17,4,9,100,1097,53,81,67,3372,265,14,9,23,355,36,11,51,165,26,9,623
"2020-03-09",30,5,9,119,1286,89,94,97,4490,313,14,9,33,337,46,19,52,206,28,15,694
"2020-03-10",37,7,11,126,1417,110,99,128,4427,381,15,38,50,436,55,20,60,260,37,17,783
"2020-03-11",37,8,17,149,1588,110,125,181,5763,461,16,75,74,480,71,37,81,314,44,19,940
"2020-03-12",78,8,32,174,1758,148,172,243,6896,570,16,103,102,554,98,39,111,352,62,26,1297
"2020-03-13",83,10,37,213,2011,236,242,304,7732,698,17,123,157,794,121,43,126,455,73,27,1453
"2020-03-14",106,10,59,243,2349,271,320,384,9059,863,17,170,199,814,156,47,150,614,103,41,1775
"2020-03-15",128,11,66,296,2741,316,396,493,10043,1087,17,199,367,1030,212,75,179,763,139,56,1989
"2020-03-16",165,12,87,363,3088,346,472,575,10861,1185,15,235,367,1405,212,105,203,841,159,103,2274
"2020-03-17",216,20,112,423,3404,347,550,661,12095,1302,19,282,368,1764,320,115,226,1024,192,134,2488
"2020-03-18",249,27,126,423,3915,416,650,744,12266,1476,21,366,436,2187,362,132,267,1291,241,162,2953
"2020-03-19",366,37,164,605,4506,522,741,883,13938,1622,38,421,491,2754,449,204,321,1422,328,209,3169
"2020-03-20",422,52,201,702,5089,555,912,1001,15420,1844,39,530,600,3244,551,288,379,1713,384,257,3677
"2020-03-21",494,66,225,793,5661,666,1086,1159,17370,1997,47,600,720,3506,642,321,458,1905,447,304,4214
"2020-03-22",539,81,260,866,6390,738,1272,1351,17885,2231,52,648,885,4127,748,327,596,2144,500,354,4644
"2020-03-23",605,89,280,929,7220,771,1414,1553,18910,2358,50,688,914,4529,862,343,681,2301,556,379,4986
"2020-03-24",622,91,304,992,7711,848,1545,1692,19868,2497,55,699,975,5124,940,395,799,2519,624,379,5351
"2020-03-25",738,112,333,1072,8256,911,1675,1826,20591,2639,53,748,1058,5556,1023,412,936,2776,686,375,5745
"2020-03-26",860,133,372,1169,8850,954,1835,2027,22189,2795,81,791,1094,5950,1095,462,1095,2973,770,378,6140
"2020-03-27",925,147,469,1292,9361,1027,2013,2060,23895,2850,86,833,1164,6347,1236,496,1158,3170,824,413,6648
"2020-03-28",1027,178,523,1407,9964,1120,2181,2086,24509,2999,98,929,1234,6851,1358,569,1242,3511,898,468,6913
"2020-03-29",1169,197,577,1556,10535,1141,2362,2279,25392,3160,100,1034,1293,7268,1432,582,1330,3786,897,539,7251
"2020-03-30",1169,208,602,1739,10766,1109,2497,2383,25006,3251,107,1098,1357,7655,1585,622,1408,4050,834,518,7564
"2020-03-31",1191,216,606,1871,10953,1160,2642,2508,25124,3352,117,1142,1389,8082,1654,657,1492,4226,851,552,7850
"2020-04-01",1211,225,610,1976,11489,1206,2758,2645,25765,3456,131,1112,1483,8470,1756,675,1544,4432,864,540,8224
"2020-04-02",1251,233,627,2140,11859,1294,2879,2660,25876,3555,133,1160,1587,8799,1864,718,1606,4789,885,556,8578
"2020-04-03",1301,247,662,2352,12178,1324,3009,2746,26189,3631,144,1209,1659,9130,1949,744,1664,4909,920,560,8861
"2020-04-04",1356,244,662,2496,12523,1336,3106,2894,27220,3497,171,1201,1753,9693,1973,789,1726,5054,927,560,9093
"2020-04-05",1420,254,706,2621,12837,1363,3186,3093,28124,3578,187,1226,1795,10177,2022,815,1774,5185,898,576,9409
"2020-04-06",1425,262,722,2698,13051,1396,3300,3117,28469,3706,187,1260,1838,10545,2115,819,1815,5301,872,567,9722
"2020-04-07",1491,265,733,2765,13048,1379,3365,3212,28343,3738,185,1301,1890,10704,2137,821,1859,5427,846,593,9965
"2020-04-08",1534,270,755,2859,13110,1415,3448,3245,28545,3562,181,1281,1940,10989,2238,840,1893,5557,823,606,10171
"2020-04-09",1566,275,765,2873,13258,1390,3532,3253,29074,3401,189,1315,1978,11336,2301,876,1942,5703,792,609,10449
"2020-04-10",1635,279,786,2963,13350,1398,3633,3301,29530,3316,193,1317,1994,11576,2336,876,1967,5822,752,602,10647
"2020-04-11",1724,281,792,3002,13495,1382,3730,3333,30258,3231,193,1269,2064,12170,2402,888,2001,5992,723,590,10749
"2020-04-12",1742,277,795,3057,13672,1326,3817,3333,31265,3114,202,1515,2082,12505,2452,903,2030,6162,687,588,10729
"2020-04-13",1778,270,791,3062,13818,1307,3920,3365,31935,3080,202,1537,2080,12765,2512,914,2050,6257,625,582,10766
"2020-04-14",1800,265,816,3094,13778,899,4022,3466,32363,3095,200,1564,2082,13055,2552,900,2071,6352,622,559,10736
"2020-04-15",1810,261,819,3087,13577,1394,4047,3464,32921,3097,206,1576,2104,13195,2573,870,2081,6417,582,548,10789
"2020-04-16",1850,273,847,3118,13663,1330,4144,3437,33090,3124,203,1593,2087,13783,2625,865,2108,6613,536,518,10800
"2020-04-17",1942,266,819,3027,13585,1428,4214,3459,33434,3157,208,1582,1990,13998,2656,872,2139,6583,494,491,10618
"2020-04-18",1971,262,832,3045,13584,1403,4282,3412,34195,3172,209,1556,1985,14223,2694,881,2171,6470,431,549,10444
"2020-04-19",1987,247,844,3022,13552,1337,4321,3490,34497,3182,215,1566,1971,14470,2786,864,2202,6496,436,562,10210
"2020-04-20",2062,242,828,3019,13522,1190,4365,3496,34587,3212,213,1540,1929,14557,2810,854,2210,6568,424,548,10061
"2020-04-21",2067,245,819,2946,13244,1322,4402,3463,33978,3218,213,1536,1909,14811,2812,837,2259,6622,407,522,10077
"2020-04-22",2108,232,821,2998,13084,1308,4463,3476,34242,3230,205,1512,1874,15122,2874,833,2287,6167,371,501,9991
"2020-04-23",2100,229,823,2978,12845,1135,4486,3466,33873,3230,198,1494,1871,15152,2936,817,2301,6171,355,463,9925
"2020-04-24",2079,229,821,2943,12509,1320,4492,3437,34368,3273,200,1093,1827,15391,2933,804,2320,6133,322,354,9679
"2020-04-25",2061,218,811,2935,12347,1084,4561,3433,34473,3272,198,1035,1744,15502,2919,794,2272,6146,297,313,9432
"2020-04-26",2068,219,797,2924,12341,1248,4573,3480,35166,3308,200,994,1682,15519,2937,783,2107,6069,296,254,9138
"2020-04-27",2030,217,782,2877,12225,1258,4562,3580,35441,3310,200,940,1707,15508,2912,776,2123,5983,287,235,8860
"2020-04-28",1990,205,764,2802,12003,1239,4562,3571,35744,3334,195,910,1565,15506,2919,772,2143,5896,275,209,8601
"2020-04-29",1976,194,753,2782,11862,1227,4535,3576,36122,3347,193,845,1463,15521,2927,761,2145,5663,261,135,8369
"2020-04-30",1915,192,740,2773,9563,1170,4468,3551,36211,3210,190,802,1370,15493,2949,744,2157,5584,233,89,8147
"2020-05-01",1911,193,727,2753,9484,1115,4446,3518,36473,3211,190,757,1293,15562,2947,744,2171,5373,204,92,7779
"2020-05-02",1879,191,713,2721,9323,1109,4452,3598,36667,3205,182,703,1282,15719,2954,730,2186,5365,196,98,7431
"2020-05-03",1868,194,702,2726,9045,1087,4385,3551,36926,3198,181,665,1247,15638,2955,689,2203,5328,183,109,7299
"2020-05-04",1837,173,674,2711,8984,1050,4385,3508,37307,3206,178,636,1165,15562,2945,653,2202,5279,181,110,7234
"2020-05-05",1809,177,650,2530,8681,984,4370,3427,37092,3219,177,612,1041,15323,2939,642,2202,5190,176,110,7116
"2020-05-06",1791,172,644,2340,8391,962,4433,3306,31753,3236,179,579,982,14858,2903,623,2201,5088,171,127,6789
"2020-05-07",1770,155,633,2139,8011,927,4348,3248,32015,3247,170,551,910,14469,2800,583,2127,4716,141,130,6534
"2020-05-08",1713,152,619,2012,7730,911,4328,3176,31983,3238,184,502,872,14107,2733,553,2127,4592,119,123,6187
"2020-05-09",1676,145,612,1965,7401,869,4345,2982,30262,3230,205,473,830,13934,2729,550,2080,4448,111,118,5877
"2020-05-10",1671,143,596,1915,7191,851,4286,2900,30190,3251,218,459,786,13650,2669,515,2069,4147,113,113,5591
