Zona	Regione	Capoluogo	Popolazione(ab)	Superficie(km²)	Densità (ab./km²)
n	Emilia-Romagna	Bologna	4459477	22453	199
n	Friuli Venezia Giulia	Trieste	1215220	7924	153
n	Liguria	Genova	1550640	5416	286
n	Lombardia	Milano	10060574	23863	422
n	Piemonte	Torino	4356406	25387	172
n	Trentino-Alto Adige	Trento	1072276	13605	79
n	P.A. Bolzano	Bolzano	520891		
n	P.A. Trento	Trento	538223		
n	Valle d'Aosta	Aosta	125666	3261	39
n	Veneto	Venezia	4905854	18345	267
c	Abruzzo	L'Aquila	1311580	10831	121
c	Lazio	Roma	5879082	17232	341
c	Marche	Ancona	1525271	9401	162
c	Toscana	Firenze	3729641	22987	162
c	Umbria	Perugia	882015	8464	104
s	Basilicata	Potenza	562869	10073	56
s	Calabria	Catanzaro	1947131	15221	128
s	Campania	Napoli	5801692	13671	424
s	Molise	Campobasso	305617	4460	69
s	Puglia	Bari	4029053	19541	206
s	Sardegna	Cagliari	1639591	24100	68
s	Sicilia	Palermo	4999891	25832	194